Reference area,TIME_PERIOD,Average annual gross earnings [ PPP converted],Difficulty making ends meet [Percentage of population aged 16 years or over],Employment rate [Percentage of population aged 25-64 years],Feeling safe at night [Percentage of population aged 15 years or over],Households and NPISHs net adjusted disposable income per capita [ PPP converted],Housing affordability [Percentage of household gross adjusted disposable income],Life expectancy at birth [Years],Life satisfaction [0-10 scale],Long-term unemployment rate [Percentage of labour force],Social support [Percentage of population aged 15 years or over],Student reading skills [Points]
Switzerland,2006,78428.306,,81.019,77.0,43636.0,78.9349412157,81.8,,1.564633938,94.1934326462,499.2777837981
Switzerland,2007,79355.894,8.1,81.976,76.66666666666667,44904.0,79.3316550916,82.0,8.22,1.4908280969,93.8483459731,499.6852597806667
Switzerland,2008,79783.509,8.567,83.133,76.33333333333333,44985.0,78.9071004066,82.3,8.128,1.1496931142,93.5032593,500.09273576323335
Switzerland,2009,81197.456,11.641,82.72,76.0,45257.0,79.1291999652,82.3,8.143,1.2515382908,93.1581726269,500.5002117458
Switzerland,2010,80823.349,11.311,80.43,76.66666666666667,45676.0,78.8504830485,82.7,8.152,1.726881543,93.57017689313334,503.34689106813335
Switzerland,2011,81342.649,12.829,81.525,77.33333333333333,45817.0,78.8010526628,82.8,8.151,1.7753509702,93.98218115936666,506.1935703904667
Switzerland,2012,82526.691,11.966,81.96,78.0,46491.0,78.8401802763,82.8,8.201,1.6601005131,94.3941854256,509.0402497128
Switzerland,2013,83599.467,11.876,81.761,80.83333333335,47206.0,79.0305431914,82.9,8.047416135,1.6127863326,94.1945377523,503.42624266983336
Switzerland,2014,83762.274,12.3,82.172,83.6666666667,47426.0,79.1118992872,83.3,8.018,1.8863823553,93.994890079,497.81223562686665
Switzerland,2015,84264.574,11.2,82.741,83.6666666667,47635.0,78.9285266498,83.0,7.949,1.9103128973,93.994890079,492.1982285839
Switzerland,2016,83965.905,12.7,82.997,83.6666666667,47842.0,78.8141296282,83.7,7.953,1.9650692376,93.994890079,489.4419541139
Switzerland,2017,83569.001,12.0,83.008,87.3333333333,47219.0,78.6300484442,83.7,7.961845982,1.8373156949,93.606401065,486.6856796439
Switzerland,2018,83328.535,12.0,83.431,87.3333333333,47192.0,78.5607439,83.8,7.963366268,1.8922741629,93.606401065,483.9294051739
Switzerland,2019,84911.132,12.2,84.102,87.3333333333,47798.0,78.5773319116,84.0,8.025741548,1.6809811218,93.606401065,483.779553880425
Switzerland,2020,83154.689,10.9,83.734,86.3333333333,49115.0,79.0480361328,83.1,8.078755342,1.6813589643,91.9178578661,483.62970258695
Switzerland,2021,86386.832,9.5,83.111,86.3333333333,48967.0,78.5535769252,83.9,7.894695279,2.1419111452,91.9178578661,483.479851293475
Switzerland,2022,87339.04,10.0,83.447,86.3333333333,49209.0,78.8792894261,83.7,7.9759560666,1.694775167,91.9178578661,483.33
Switzerland,2023,86535.328,9.9,84.134,87.5,48940.0,,84.3,7.8221484851,1.2707705541,91.2504634678,
